Front	Back	Tags	Source
Qual é a definicao operacional de AKI no KDIGO 2026?	Alteracao funcional ou estrutural renal, conhecida ou presumida em ate 7 dias, no contexto clinico adequado: creatinina, cistatina C, diurese ou biomarcador validado.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Quais sao os criterios funcionais classicos de AKI por creatinina?	SCr >=0,3 mg/dL em 48h ou SCr >=1,5x basal presumida em ate 7 dias.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Qual criterio de diurese define AKI em adultos/criancas?	Volume urinario medio <0,5 mL/kg/h por >=6 horas, preferencialmente com peso ideal quando aplicavel.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Quando considerar cistatina C para identificar AKI?	Quando a creatinina for pouco confiavel: baixa massa muscular, hepatopatia, hemodiluicao, estado nao estacionario, desnutricao, idosos, amputados.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
O que significa classificar AKI por C/U/B?	C = creatinina/cistatina; U = urine output/diurese; B = biomarcador de dano/estresse renal positivo ou negativo.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C1 de AKI significa o que?	SCr >=0,3 mg/dL ou 1,5-1,9x basal.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C2 de AKI significa o que?	SCr 2,0-2,9x basal.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C3 de AKI significa o que?	SCr >=3x basal, SCr >=4 mg/dL ou inicio de RRT/TRS.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U1 de AKI significa o que?	Diurese <0,5 mL/kg/h por 6-12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U2 de AKI significa o que?	Diurese <0,5 mL/kg/h por >12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U3 de AKI significa o que?	Diurese <0,3 mL/kg/h por >24 horas ou anuria >12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
Como diferenciar AKI transitoria de persistente?	Transitoria: alteracao de funcao/diurese <=48h. Persistente: >48h e ate 7 dias.	KDIGO2026_AKI_UTI prognostico	KDIGO 2026 AKI/AKD Public Review Draft
O que é AKD?	Doenca renal aguda com criterios funcionais/estruturais em duracao <=3 meses; pode ocorrer apos AKI ou sem AKI evidente.	KDIGO2026_AKI_UTI akd	KDIGO 2026 AKI/AKD Public Review Draft
Cite criterios funcionais de AKD.	AKI funcional, GFR <60 mL/min/1,73 m2, queda de GFR >=35 mL/min/1,73 m2 ou aumento de SCr >50%.	KDIGO2026_AKI_UTI akd	KDIGO 2026 AKI/AKD Public Review Draft
Como definir resolucao completa de AKI?	SCr ou cistatina C <1,2x basal dentro de 7 dias.	KDIGO2026_AKI_UTI recuperacao	KDIGO 2026 AKI/AKD Public Review Draft
Como definir resolucao parcial de AKI?	SCr ou cistatina C >=1,2 a <1,5x basal dentro de 7 dias.	KDIGO2026_AKI_UTI recuperacao	KDIGO 2026 AKI/AKD Public Review Draft
Qual a mensagem sobre alertas eletronicos de AKI?	Nao usar alertas interruptivos isolados baseados apenas em creatinina sem estrategia sistematica de resposta clinica.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Para que serve o Furosemide Stress Test?	Avaliar risco de progressao para AKI estagio 3/RRT em AKI estagio 1-2 quando paciente esta euvolemico ou hipervolemico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Qual resposta ao Furosemide Stress Test sugere melhor prognostico?	Diurese robusta nas primeiras horas sugere reserva tubular; baixa resposta sugere maior risco de progressao.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Quando usar KeGFR?	Quando estimativa de GFR em estado nao estacionario mudar decisao de dose, contraste, TRS ou prognostico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Qual papel do sedimento urinario na AKI?	Ajuda etiologia/prognostico; cilindros granulosos muddy brown e celulas tubulares sugerem injuria tubular aguda.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
FeNa e FeUrea devem ser usadas como?	Apenas em cenarios selecionados; têm utilidade limitada e devem ser interpretadas no contexto clinico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
