Frente;Verso;Tags
Qual é o objetivo da avaliação ABCDE na UTI?;Detectar e tratar rapidamente ameaças imediatas à vida por uma sequência padronizada: via aérea, respiração, circulação, neurologia e exposição.;TEMI2026::ABCDE UTI::AbordagemInicial
O que significa a letra A no ABCDE?;A significa Airway, ou via aérea. Avalia se a via aérea está pérvia, protegida e sem risco iminente de obstrução ou broncoaspiração.;TEMI2026::ABCDE UTI::ViaAerea
O que significa a letra B no ABCDE?;B significa Breathing, ou respiração. Avalia oxigenação, ventilação, mecânica respiratória e causas torácicas ameaçadoras à vida.;TEMI2026::ABCDE UTI::Respiratorio
O que significa a letra C no ABCDE?;C significa Circulation, ou circulação. Avalia perfusão, pressão arterial, pulso, sangramentos, choque e necessidade de fluidos ou vasopressores.;TEMI2026::ABCDE UTI::Choque
O que significa a letra D no ABCDE?;D significa Disability, ou avaliação neurológica. Avalia consciência, pupilas, glicemia, déficit focal, convulsão e causas metabólicas ou estruturais.;TEMI2026::ABCDE UTI::Neurologia
O que significa a letra E no ABCDE?;E significa Exposure, ou exposição. Avalia pele, temperatura, sangramentos ocultos, trauma, rash, dispositivos, abdome, dorso e sinais de infecção.;TEMI2026::ABCDE UTI::Exposicao
Qual é a regra de ouro do ABCDE?;Identificar e tratar ameaças à vida imediatamente, antes de passar para a próxima etapa. O ABCDE é avaliação e intervenção ao mesmo tempo.;TEMI2026::ABCDE ProvaPratica::Simulacao
Quais ações devem ocorrer antes ou junto do ABCDE na UTI?;Garantir segurança, chamar ajuda, monitorizar ECG/PA/SpO2, ofertar oxigênio se indicado e obter acesso venoso ou intraósseo se necessário.;TEMI2026::ABCDE UTI::PrimeirosMinutos
No A, quais sinais sugerem via aérea pérvia?;Paciente falando frases, sem estridor, sem roncos importantes, sem secreção abundante e com bom nível de consciência para proteger a via aérea.;TEMI2026::ABCDE UTI::ViaAerea
No A, quais sinais sugerem via aérea ameaçada?;Estridor, roncos, secreção ou vômitos, trauma facial/cervical, queimadura de face, rebaixamento, incapacidade de falar e queda da saturação.;TEMI2026::ABCDE UTI::ViaAereaDificil
No A, quais intervenções simples podem abrir a via aérea?;Elevação do mento, tração da mandíbula se suspeita de trauma cervical, aspiração de secreções, cânula orofaríngea ou nasofaríngea se indicada.;TEMI2026::ABCDE UTI::ViaAerea
