tema_id,emoji,tema,pasta,palavras_chave,prioridade,quando_usar
uti-geral,🏥,UTI Geral,05_Biblioteca_IA/acervo/uti-geral/,uti; intensiva; paciente crítico; round; checklist; bundle; monitorização,1,Usar quando o arquivo tratar de uti geral ou palavras-chave relacionadas.
sepse-choque,🩸,Sepse / Choque,05_Biblioteca_IA/acervo/sepse-choque/,sepse; choque séptico; vasopressor; noradrenalina; lactato; bundle; ressuscitação,1,Usar quando o arquivo tratar de sepse / choque ou palavras-chave relacionadas.
vm-sdra,🫁,Ventilação Mecânica / SDRA,05_Biblioteca_IA/acervo/vm-sdra/,ventilação; vm; sdra; sara; driving pressure; peep; platô; gasometria; desmame,1,Usar quando o arquivo tratar de ventilação mecânica / sdra ou palavras-chave relacionadas.
nefro-aki-trs,🧪,Nefro / AKI / TRS,05_Biblioteca_IA/acervo/nefro-aki-trs/,aki; ira; kdigo; trs; hemodiálise; diálise; crrt; intradialítica; furosemida,1,Usar quando o arquivo tratar de nefro / aki / trs ou palavras-chave relacionadas.
infectologia,🦠,Infectologia / Antimicrobianos,05_Biblioteca_IA/acervo/infectologia/,infecção; antibiótico; antimicrobiano; cvc; pav; pneumonia; hemocultura; staphylococcus; septicemia,1,Usar quando o arquivo tratar de infectologia / antimicrobianos ou palavras-chave relacionadas.
neuro-uti,🧠,Neuro UTI,05_Biblioteca_IA/acervo/neuro-uti/,avc; tce; convulsão; estado de mal; morte encefálica; neuro; sedação neurológica,1,Usar quando o arquivo tratar de neuro uti ou palavras-chave relacionadas.
cardio-hemodinamica,❤️,Cardio / Hemodinâmica,05_Biblioteca_IA/acervo/cardio-hemodinamica/,choque cardiogênico; bradicardia; tridil; nipride; hipertensão; hemodinâmica; dva; ecmo,1,Usar quando o arquivo tratar de cardio / hemodinâmica ou palavras-chave relacionadas.
endocrino-metabolico,🍬,Endócrino / Metabólico,05_Biblioteca_IA/acervo/endocrino-metabolico/,cetoacidose; ehh; hipoglicemia; diabetes; insulina; tireotoxicose; crise tireotóxica,1,Usar quando o arquivo tratar de endócrino / metabólico ou palavras-chave relacionadas.
disturbios-eletroliticos,⚡,Distúrbios Hidroeletrolíticos / Ácido-base,05_Biblioteca_IA/acervo/disturbios-eletroliticos/,hiponatremia; sódio; potássio; acidose; alcalose; gasometria; eletrólitos,1,Usar quando o arquivo tratar de distúrbios hidroeletrolíticos / ácido-base ou palavras-chave relacionadas.
gastro-hepatologia,🩺,Gastro / Hepatologia,05_Biblioteca_IA/acervo/gastro-hepatologia/,hemorragia digestiva; hda; abdômen agudo; obstrutivo; fígado; hepatologia,2,Usar quando o arquivo tratar de gastro / hepatologia ou palavras-chave relacionadas.
emergencias-clinicas,🚨,Emergências Clínicas,05_Biblioteca_IA/acervo/emergencias-clinicas/,emergência; crise; intoxicação; afogamento; parada; crash cart; urgência,1,Usar quando o arquivo tratar de emergências clínicas ou palavras-chave relacionadas.
farmaco-doses,💊,Farmacologia / Doses / Diluições,05_Biblioteca_IA/acervo/farmaco-doses/,dose; diluição; bomba; ml/h; sedação; analgesia; azul de metileno; niprid; vasoativo,1,Usar quando o arquivo tratar de farmacologia / doses / diluições ou palavras-chave relacionadas.
procedimentos-dispositivos,🧰,Procedimentos / Dispositivos / Cateteres,05_Biblioteca_IA/acervo/procedimentos-dispositivos/,cvc; cateter; acesso venoso; tubo; dreno; sonda; procedimento; retirar,2,Usar quando o arquivo tratar de procedimentos / dispositivos / cateteres ou palavras-chave relacionadas.
pocus-usg,🔊,POCUS / USG Beira-leito,05_Biblioteca_IA/acervo/pocus-usg/,pocus; ultrassom; usg; ecografia; vexame; pulmão; vena cava,2,Usar quando o arquivo tratar de pocus / usg beira-leito ou palavras-chave relacionadas.
temi-prova,🏆,TEMI / Prova / Questões,05_Biblioteca_IA/acervo/temi-prova/,temi; amib; prova; questões; flashcard; título; simulado,1,Usar quando o arquivo tratar de temi / prova / questões ou palavras-chave relacionadas.
clinica-medica,🏥,Clínica Médica / Enfermaria,05_Biblioteca_IA/acervo/clinica-medica/,clínica médica; enfermaria; diagnóstico diferencial; multimorbidade; internista,2,Usar quando o arquivo tratar de clínica médica / enfermaria ou palavras-chave relacionadas.
gestao-ia-produtividade,⚙️,IA / Obsidian / Produtividade Médica,05_Biblioteca_IA/acervo/gestao-ia-produtividade/,ia; chatgpt; claude; obsidian; antigravity; github; prompt; produtividade,2,Usar quando o arquivo tratar de ia / obsidian / produtividade médica ou palavras-chave relacionadas.
juridico-financeiro,⚖️,Jurídico / Financeiro / Pessoal,05_Biblioteca_IA/acervo/juridico-financeiro/,jurídico; divórcio; financeiro; banco; dívida; irpf; processo,3,Usar quando o arquivo tratar de jurídico / financeiro / pessoal ou palavras-chave relacionadas.
familia-paciente,👨‍👩‍👧,Família / Paciente / Educação em Saúde,05_Biblioteca_IA/acervo/familia-paciente/,mãe; família; paciente; orientação; educação; cuidador; idoso,3,Usar quando o arquivo tratar de família / paciente / educação em saúde ou palavras-chave relacionadas.
inbox-revisar,📥,Inbox / Revisar Manualmente,05_Biblioteca_IA/inbox/,sem classificação; dúvida; revisar,99,Usar quando o arquivo tratar de inbox / revisar manualmente ou palavras-chave relacionadas.
